product_name,supplier_price,supplier_name,category,last_updated
Samsung 55" Smart TV,45000,TechSupplies,Electronics,2024-01-15
Apple iPhone 15 Pro,180000,MobileHub,Electronics,2024-01-15
Dell XPS 13 Laptop,120000,ComputerWorld,Electronics,2024-01-15
Sony WH-1000XM5 Headphones,35000,AudioTech,Electronics,2024-01-15
LG 65" OLED TV,85000,DisplayMasters,Electronics,2024-01-15
Google Pixel 8 Pro,160000,MobileHub,Electronics,2024-01-15
MacBook Air M3,195000,ComputerWorld,Electronics,2024-01-15
Bose QuietComfort 45,28000,AudioTech,Electronics,2024-01-15
Samsung Galaxy S24 Ultra,170000,MobileHub,Electronics,2024-01-15
Vitron 32 Inch QLED TV,25000,TechSupplies,Electronics,2024-01-15
HP Spectre x360,135000,ComputerWorld,Electronics,2024-01-15